code_uic;libelle;fret;voyageurs;code_ligne;rg_troncon;pk;commune;departemen;idreseau;idgaia;x_l93;y_l93;x_wgs84;y_wgs84;c_geo;geo_point_2d;geo_shape
87381715;Mareil-sur-Mauldre;N;O;396000;1;042+382;MAREIL-SUR-MAULDRE;YVELINES;5359;e1b2762a-19bf-11e5-a6ff-01fc64e0362d;617263.3342999965;6866553.629700001;1.871552843730546;48.8936706358685;48.8936706358685,1.8715528437305458;48.8936706358,1.87155284373;"{""coordinates"": [1.871552843730545, 48.89367063584661], ""type"": ""Point""}"
87286062;Hellemmes;O;O;269000;1;004+096;LILLE;NORD;4429;d9b659f8-6667-11e3-89ff-01f464e0362d;708240.9878000021;7058436.268199999;3.116260107935155;50.62287383634239;50.62287383634239,3.116260107935155;50.6228738363,3.11626010794;"{""coordinates"": [3.116260107935154, 50.62287383632865], ""type"": ""Point""}"
87214726;Rothau;N;O;110000;1;044+926;ROTHAU;BAS-RHIN;6309;d999b8dc-6667-11e3-89ff-01f464e0362d;1010921.9029999971;6825947.0227999985;7.207432343690648;48.45922303173024;48.45922303173024,7.207432343690648;48.4592230317,7.20743234369;"{""coordinates"": [7.20743234369065, 48.459223031706124], ""type"": ""Point""}"
87615419;Marssac-sur-Tarn;N;O;741000;1;346+380;MARSSAC-SUR-TARN;TARN;5400;d9446fa8-6667-11e3-89ff-01f464e0362d;621836.559799999;6313371.898800001;2.026894992903473;43.915017080362055;43.915017080362055,2.0268949929034727;43.9150170803,2.0268949929;"{""coordinates"": [2.026894992903472, 43.91501708033957], ""type"": ""Point""}"
87784512;Le Soler;N;O;679000;1;474+565;LE SOLER;PYRENEES-ORIENTALES;5007;29716a08-dfbc-11e3-a2ff-01a464e0362d;682569.1484000012;6175407.080899999;2.787602438694243;42.678079975389345;42.678079975389345,2.7876024386942433;42.6780799754,2.78760243869;"{""coordinates"": [2.787602438694242, 42.67807997536396], ""type"": ""Point""}"
87684233;Dordives;N;O;750000;1;101+349;DORDIVES;LOIRET;3990;d976c850-6667-11e3-89ff-01f464e0362d;682339.2855999991;6783021.141199999;2.762535922688357;48.1473164313826;48.1473164313826,2.7625359226883566;48.1473164314,2.76253592269;"{""coordinates"": [2.762535922688356, 48.14731643135682], ""type"": ""Point""}"
87611061;Carbonne;O;O;650000;1;041+439;CARBONNE;HAUTE-GARONNE;3482;c0fc7788-f312-11e3-90ff-015864e0362d;554802.7805999964;6245921.909400001;1.211587462527255;43.29766495548215;43.29766495548215,1.2115874625272551;43.2976649555,1.21158746253;"{""coordinates"": [1.211587462527254, 43.29766495545815], ""type"": ""Point""}"
87345280;Bauvin-Provin;N;O;285000;1;233+090;BAUVIN;NORD;3109;d9db6e70-6667-11e3-89ff-01f464e0362d;693254.0031000003;7046044.392099999;2.90504075604601;50.51167305704527;50.51167305704527,2.9050407560460103;50.511673057,2.90504075605;"{""coordinates"": [2.905040756046009, 50.51167305703105], ""type"": ""Point""}"
87595298;Mussidan;O;O;621000;1;039+719;MUSSIDAN;DORDOGNE;5725;d992ef10-6667-11e3-89ff-01f464e0362d;491657.1653999984;6440746.873399999;0.353907886033932;45.03454481999586;45.03454481999586,0.3539078860339317;45.03454482,0.353907886034;"{""coordinates"": [0.35390788603393, 45.03454481997635], ""type"": ""Point""}"
87481598;Nort-sur-Erdre;N;O;519000;1;456+500;NORT-SUR-ERDRE;LOIRE-ATLANTIQUE;8954;29550434-dfbc-11e3-a2ff-01a464e0362d;360782.5033000037;6714286.941199999;-1.503440199165114;47.44185260156143;47.44185260156143,-1.5034401991651143;47.4418526015,-1.50344019917;"{""coordinates"": [-1.503440199165117, 47.44185260153181], ""type"": ""Point""}"
