Date,Time,Precip,Air max,min,Soil max,min,Solar,ETo,RH max,min
19980301,23:59,0,63,44,57,52,318,0.07,98.5,67.8
19980302,23:59,0,64,44,58,53,444,0.12,96.1,64.1
19980303,23:59,0.07,62,41,59,55,329,0.08,99.2,56.7
19980304,23:59,0,63,38,57,51,450,0.1,95.6,39.9
19980305,23:59,0.22,51,35,53,49,117,0.01,100,75.5
19980306,23:59,0.05,58,37,55,49,484,0.11,96.5,52.3
19980307,23:59,0.07,56,31,52,47,226,0.05,100,53.5
19980308,23:59,0,66,44,56,50,434,0.1,98,60.2
19980309,23:59,0,70,36,56,50,496,0.12,100,43.8
19980310,23:59,0,75,36,57,49,493,0.13,95.3,43
19980311,23:59,0,77,39,58,50,471,0.12,99.1,36.5
19980312,23:59,0,65,43,56,52,207,0.05,99.8,68.3
19980313,23:59,0.13,62,48,59,54,394,0.1,100,66.3
19980314,23:59,0,66,41,59,53,498,0.12,100,68.5
19980315,23:59,0,68,48,60,55,383,0.1,99.2,72.4
19980316,23:59,0,66,48,59,56,233,0.05,100,76.7
19980317,23:59,0,65,46,59,56,221,0.04,100,77.3
19980318,23:59,0,70,45,60,55,460,0.12,100,68.5
19980319,23:59,0,63,50,60,57,432,0.11,99.5,82
19980320,23:59,0,59,54,58,57,102,0.01,99.1,83
19980321,23:59,0,65,51,60,56,333,0.09,97.3,71.7
19980322,23:59,0,69,48,61,56,400,0.11,99.6,69.1
19980323,23:59,0.01,78,43,62,55,539,0.17,100,45.1
19980324,23:59,0.41,66,53,62,59,253,0.07,99.8,70.9
19980325,23:59,0.48,66,47,61,57,375,0.1,100,57.4
19980326,23:59,0,60,45,59,55,353,0.1,100,67.2
19980327,23:59,0.23,60,44,59,55,402,0.12,97,67.3
19980328,23:59,0.17,55,39,57,54,414,0.1,95.3,57.2
19980329,23:59,0,59,34,57,51,557,0.15,98,45.4
19980330,23:59,0,63,35,57,50,582,0.15,99.4,51
19980331,23:59,0.23,53,43,55,53,194,0.04,95.1,75.1
19980401,23:59,0,57,42,56,52,323,0.08,90.8,61.4
19980402,23:59,0.11,59,48,55,53,189,0.05,97.7,55.2
19980403,23:59,0.3,58,45,56,53,263,0.06,99.3,63.8
19980404,23:59,0.03,58,43,56,53,296,0.07,97.7,70
19980405,23:59,0,62,41,57,52,500,0.13,100,58.4
19980406,23:59,0.05,58,46,58,54,433,0.12,95.2,63.8
19980407,23:59,0.2,58,41,56,53,314,0.08,97.3,67.2
19980408,23:59,0,61,36,57,51,606,0.16,98.8,47.4
19980409,23:59,0,65,41,58,52,569,0.16,96.3,55.1
19980410,23:59,0,63,43,58,53,471,0.14,98.2,58.8
19980411,23:59,0.33,56,43,56,54,204,0.05,96.4,70.5
19980412,23:59,0,57,39,57,51,586,0.16,90.4,54
19980413,23:59,0.41,57,42,57,53,545,0.15,98.2,61.3
19980414,23:59,0.04,58,37,57,51,633,0.16,99.7,53.5
19980415,23:59,0,60,35,57,51,620,0.17,100,56.6
19980416,23:59,0,65,36,58,51,644,0.17,99.7,51.7
19980417,23:59,0,68,37,59,52,648,0.18,99.5,34.8
19980418,23:59,0,70,42,59,53,614,0.17,96.4,49.1
19980419,23:59,0,70,41,60,53,634,0.18,100,59.3
19980420,23:59,0,77,46,62,55,542,0.16,100,53.9
19980421,23:59,0,87,48,64,56,627,0.2,99.7,45.4
19980422,23:59,0,67,50,62,58,584,0.17,99.6,77.4
19980423,23:59,0.42,66,48,60,57,310,0.07,99.9,64
19980424,23:59,0,62,44,61,57,479,0.14,100,67.1
19980425,23:59,0,67,43,61,56,608,0.18,97.2,52
19980426,23:59,0,76,42,62,55,614,0.19,99.5,47.8
19980427,23:59,0,80,45,63,56,642,0.2,100,44.3
19980428,23:59,0,84,46,64,56,623,0.2,100,44.4
19980429,23:59,0,81,48,64,57,616,0.2,100,56.4
19980430,23:59,0,69,52,64,59,610,0.19,97.7,58.9
19980501,23:59,0.01,71,53,62,58,371,0.11,97.7,63.9
19980502,23:59,0.01,67,49,61,59,335,0.09,99.1,67.2
19980503,23:59,0.07,73,47,61,57,359,0.1,100,56.7
19980504,23:59,0.3,67,55,62,59,370,0.09,100,76.8
19980505,23:59,0.25,63,52,60,59,189,0.04,100,81.3
19980506,23:59,0,67,53,62,58,467,0.13,100,67.9
19980507,23:59,0,62,53,60,59,263,0.06,97.9,80.3
19980508,23:59,0,60,51,60,58,225,0.05,96,80.8
19980509,23:59,0,61,43,60,56,676,0.2,97.8,63
19980510,23:59,0,64,43,62,56,689,0.2,98.3,59.9
19980511,23:59,0.01,58,45,59,56,220,0.05,96.9,64.6
19980512,23:59,0.35,57,47,58,56,252,0.05,99,76.6
19980513,23:59,0.07,63,48,59,56,389,0.11,98.9,67.9
19980514,15:00,0,67,50,,,392,0.11,96,62
19980515,23:59,0,67,41,60,54,627,0.18,100,55.7
19980516,23:59,0,61,44,60,55,650,0.19,96.7,60.5
19980517,23:59,0,69,40,62,53,715,0.2,99.1,44.1
19980518,23:59,0.01,69,40,62,54,715,0.22,100,46.1
19980519,23:59,0,65,44,62,54,710,0.21,99.2,59.3
19980520,23:59,0,65,45,63,55,646,0.2,92.5,58.3
