Year,Day,Month,Hour,Weather_Condition,Wind_Chill(F),Precipitation(in),Temperature(F),Humidity(%),Wind_Speed(mph),Visibility(mi),Selected
2020,27,07,18,Fair,64.0,0.0,64.0,70.0,20.0,10.0,No
2017,30,09,17,Partly Cloudy,,,71.1,57.0,9.2,10.0,No
2017,27,06,05,Overcast,,,57.9,87.0,15.0,9.0,No
2016,07,09,09,Clear,,,66.9,73.0,4.6,10.0,No
2019,19,10,02,Fair,52.0,0.0,52.0,89.0,0.0,9.0,No
2019,01,09,17,Partly Cloudy,74.0,0.0,74.0,62.0,10.0,10.0,No
2020,03,08,13,Partly Cloudy,75.0,0.0,75.0,51.0,13.0,10.0,No
2019,08,10,13,Mostly Cloudy,73.0,0.0,73.0,53.0,13.0,10.0,No
2019,14,02,15,Mostly Cloudy,,,55.0,64.0,18.4,10.0,No
2020,27,03,23,Partly Cloudy,54.0,0.0,54.0,75.0,6.0,10.0,No
2020,02,11,22,Partly Cloudy,56.0,0.0,56.0,80.0,3.0,10.0,No
2016,01,06,20,Mostly Cloudy,,,60.1,78.0,17.3,10.0,No
2020,09,04,19,Mostly Cloudy,62.0,0.0,62.0,67.0,12.0,10.0,No
2019,29,04,07,Cloudy,56.0,0.0,56.0,69.0,15.0,10.0,No
2018,16,11,06,Smoke,,,48.0,74.0,3.5,1.5,No
2020,16,06,04,Fair,55.0,0.0,55.0,83.0,20.0,10.0,No
2016,28,05,00,Partly Cloudy,,,60.1,72.0,4.6,9.0,No
2018,14,05,15,Scattered Clouds,,,62.1,62.0,17.3,10.0,No
2018,15,03,19,Heavy Rain,,0.14,52.0,89.0,17.3,3.0,No
2019,23,10,07,Fair,54.0,0.0,54.0,86.0,0.0,10.0,No
2020,09,05,20,Partly Cloudy,52.0,0.0,52.0,86.0,12.0,10.0,No
2019,18,02,10,Clear,,,52.0,40.0,12.7,10.0,Yes
2018,11,01,10,Overcast,,,53.1,96.0,4.6,7.0,No
2016,29,08,11,Mostly Cloudy,,,64.9,65.0,12.7,10.0,No
2019,21,09,13,Fair,84.0,0.0,84.0,26.0,0.0,10.0,No
2020,17,11,23,Cloudy,61.0,0.0,61.0,81.0,13.0,10.0,No
2020,10,02,15,Fair,70.0,0.0,70.0,25.0,9.0,10.0,No
2020,14,04,21,Fair,63.0,0.0,63.0,54.0,3.0,10.0,No
2018,26,07,15,Scattered Clouds,,,64.0,67.0,25.3,10.0,No
2019,11,09,22,Fair,66.0,0.0,66.0,63.0,0.0,10.0,No
2017,15,03,05,Overcast,,,54.0,100.0,,10.0,No
2019,31,08,09,Fair,70.0,0.0,70.0,65.0,5.0,10.0,No
2019,04,12,04,Light Rain,54.0,0.02,54.0,90.0,3.0,6.0,No
2019,14,10,16,Fair,63.0,0.0,63.0,65.0,13.0,10.0,No
2020,03,04,22,Fair,53.0,0.0,53.0,66.0,10.0,10.0,No
2020,16,05,21,Mostly Cloudy,66.0,0.0,66.0,63.0,10.0,10.0,No
2018,24,07,18,Partly Cloudy,,,64.9,78.0,17.3,10.0,No
2018,26,07,08,Overcast,,,55.9,90.0,11.5,10.0,No
2017,22,11,00,Clear,,,55.9,97.0,,10.0,No
2020,01,06,05,Cloudy,60.0,0.0,60.0,78.0,5.0,10.0,No
2016,30,08,10,Partly Cloudy,,,66.9,70.0,9.2,10.0,No
2017,18,08,13,Partly Cloudy,,,71.1,59.0,18.4,10.0,No
2019,01,08,12,Mostly Cloudy,66.0,0.0,66.0,68.0,18.0,10.0,No
2019,30,07,17,Partly Cloudy,67.0,0.0,67.0,59.0,20.0,10.0,No
2019,29,03,14,Mostly Cloudy,,,60.1,57.0,13.8,10.0,No
2020,27,05,19,Fair / Windy,59.0,0.0,59.0,78.0,22.0,10.0,No
2020,24,09,07,Fair,62.0,0.0,62.0,90.0,0.0,10.0,No
2020,04,04,16,Light Rain,56.0,0.01,56.0,90.0,10.0,2.0,No
2017,21,12,13,Clear,,,55.0,37.0,4.6,10.0,No
2016,20,10,14,Partly Cloudy,,,72.0,43.0,,10.0,No
2019,20,09,14,Fair,78.0,0.0,78.0,39.0,5.0,10.0,No
2019,23,06,10,Fair,71.0,0.0,71.0,61.0,7.0,10.0,No
2020,26,02,16,Partly Cloudy,72.0,0.0,72.0,40.0,8.0,10.0,No
2018,14,01,15,Overcast,,,55.0,80.0,4.6,10.0,No
2019,03,10,06,Fair,54.0,0.0,54.0,77.0,9.0,10.0,No
2020,30,10,13,Fair,69.0,0.0,69.0,51.0,8.0,10.0,No
2019,17,10,18,Fair,61.0,0.0,61.0,67.0,14.0,10.0,No
2019,04,10,21,Fair,61.0,0.0,61.0,67.0,3.0,10.0,No
2020,03,04,06,Fair,42.0,0.0,44.0,85.0,5.0,10.0,No
2019,28,01,12,Overcast,,,59.0,75.0,5.8,10.0,No
2016,12,08,14,Partly Cloudy,,,69.1,63.0,16.1,10.0,No
2019,05,04,17,Cloudy,62.0,0.0,62.0,60.0,0.0,10.0,No
2017,09,02,10,Rain,,0.1,61.0,83.0,26.5,4.0,No
2018,10,02,22,Clear,,,59.0,22.0,9.2,10.0,No
2019,14,12,23,Partly Cloudy,51.0,0.0,51.0,68.0,15.0,10.0,No
2016,15,12,07,Light Rain,,0.0,57.9,78.0,12.7,9.0,No
2018,21,05,16,Mostly Cloudy,,,61.0,62.0,25.3,10.0,No
2020,25,10,12,Mostly Cloudy,61.0,0.0,61.0,72.0,13.0,10.0,No
2020,05,02,10,Partly Cloudy,50.0,0.0,50.0,66.0,5.0,10.0,No
2020,06,02,16,Fair,61.0,0.0,61.0,60.0,3.0,10.0,No
2020,14,10,03,Fair,62.0,0.0,62.0,70.0,6.0,9.0,No
2019,25,09,17,Partly Cloudy,86.0,0.0,86.0,40.0,10.0,10.0,No
2016,24,11,08,Mostly Cloudy,,,48.9,86.0,5.8,10.0,No
2019,10,04,16,Partly Cloudy / Windy,63.0,0.0,63.0,52.0,25.0,10.0,No
2019,20,04,09,Cloudy / Windy,55.0,0.0,55.0,86.0,25.0,10.0,No
2017,20,08,10,Scattered Clouds,,,66.9,73.0,5.8,10.0,No
2020,02,02,20,Fair,44.0,0.0,49.0,59.0,14.0,10.0,No
2020,17,11,08,Mostly Cloudy / Windy,60.0,0.0,60.0,72.0,22.0,10.0,No
2020,11,11,01,Mostly Cloudy,55.0,0.0,55.0,80.0,7.0,10.0,No
2019,09,12,20,Mostly Cloudy,55.0,0.0,55.0,74.0,7.0,9.0,No
2019,11,09,13,Fair,81.0,0.0,81.0,41.0,8.0,10.0,No
2017,10,11,09,Mostly Cloudy,,,60.1,83.0,9.2,10.0,No
2017,06,09,08,Overcast,,,66.9,81.0,6.9,8.0,No
2017,17,05,07,Partly Cloudy,,,54.0,75.0,10.4,10.0,No
