Embarked,Pclass,Fare,Sex,Age,Survived
2,3,7.25,0,22.0,0
0,1,71.2833,1,38.0,1
2,3,7.925,1,26.0,1
2,1,53.1,1,35.0,1
2,3,8.05,0,35.0,0
1,3,8.4583,0,21.0,0
2,1,51.8625,0,54.0,0
2,3,21.075,0,2.0,0
2,3,11.1333,1,27.0,1
0,2,30.0708,1,14.0,1
2,3,16.7,1,4.0,1
2,1,26.55,1,58.0,1
2,3,8.05,0,20.0,0
2,3,31.275,0,39.0,0
2,3,7.8542,1,14.0,0
2,2,16.0,1,55.0,1
1,3,29.125,0,2.0,0
2,2,13.0,0,32.0,1
2,3,18.0,1,31.0,0
0,3,7.225,1,45.0,1
2,2,26.0,0,35.0,0
2,2,13.0,0,34.0,1
1,3,8.0292,1,15.0,1
2,1,35.5,0,28.0,1
2,3,21.075,1,8.0,0
2,3,31.3875,1,38.0,1
0,3,7.225,0,28.0,0
2,1,263.0,0,19.0,0
1,3,7.8792,1,35.0,1
2,3,7.8958,0,25.0,0
0,1,27.7208,0,40.0,0
0,1,146.5208,1,57.0,1
1,3,7.75,1,38.0,1
2,2,10.5,0,66.0,0
0,1,82.1708,0,28.0,0
2,1,52.0,0,42.0,0
0,3,7.2292,0,40.5,1
2,3,8.05,0,21.0,0
2,3,18.0,1,18.0,0
0,3,11.2417,1,14.0,1
2,3,9.475,1,40.0,0
2,2,21.0,1,27.0,0
0,3,7.8958,0,24.0,0
0,2,41.5792,1,3.0,1
1,3,7.8792,1,19.0,1
2,3,8.05,0,24.0,0
1,3,15.5,0,22.0,0
1,3,7.75,1,45.0,1
0,3,21.6792,0,21.0,0
2,3,17.8,1,18.0,0
2,3,39.6875,0,7.0,0
2,3,7.8,0,21.0,0
0,1,76.7292,1,49.0,1
2,2,26.0,1,29.0,1
0,1,61.9792,0,65.0,0
2,1,35.5,0,45.5,1
2,2,10.5,1,21.0,1
0,3,7.2292,0,28.5,0
2,2,27.75,1,5.0,1
2,3,46.9,0,11.0,0
0,3,7.2292,0,22.0,0
0,1,80.0,1,38.0,1
2,1,83.475,0,45.0,0
2,3,27.9,0,4.0,0
0,1,27.7208,0,40.0,0
0,3,15.2458,0,7.0,1
2,2,10.5,1,29.0,1
2,3,8.1583,0,19.0,0
2,3,7.925,1,17.0,1
2,3,8.6625,0,26.0,0
2,2,10.5,0,32.0,0
2,3,46.9,1,16.0,0
2,2,73.5,0,21.0,0
0,3,14.4542,0,26.0,0
2,3,56.4958,0,32.0,1
2,3,7.65,0,25.0,0
2,3,7.8958,0,26.0,0
2,3,8.05,0,26.0,0
2,2,29.0,0,0.83,1
2,3,12.475,1,30.0,1
2,3,9.0,0,22.0,0
2,3,9.5,0,29.0,1
1,3,7.7875,1,64.0,1
