,target,text
0,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
1,ham,Ok lar... Joking wif u oni...
2,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
3,ham,U dun say so early hor... U c already then say...
4,ham,"Nah I don't think he goes to usf, he lives around here though"
5,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
6,ham,Even my brother is not like to speak with me. They treat me like aids patent.
7,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
8,spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
9,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
10,ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
11,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
12,spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
13,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
14,ham,I HAVE A DATE ON SUNDAY WITH WILL!!
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
16,ham,Oh k...i'm watching here:)
17,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
18,ham,Fine if thats the way u feel. Thats the way its gota b
19,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
20,ham,Is that seriously how you spell his name?
21,ham,I‘m going to try for 2 months ha ha only joking
22,ham,So ü pay first lar... Then when is da stock comin...
23,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
24,ham,Ffffffffff. Alright no way I can meet up with you sooner?
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
26,ham,Lol your always so convincing.
27,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
29,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
30,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
31,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
32,ham,K tell me anything about you.
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
35,ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
36,ham,"Oops, I'll let you know when my roommate's done"
37,ham,I see the letter B on my car
38,ham,Anything lor... U decide...
39,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
40,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
41,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
42,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
43,ham,WHO ARE YOU SEEING?
44,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
45,ham,No calls..messages..missed calls
46,ham,Didn't you get hep b immunisation in nigeria.
47,ham,"Fair enough, anything going on?"
48,ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
49,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
50,ham,What you thinked about me. First time you saw me in class.
51,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
52,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
53,ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
54,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
55,ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
56,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! "
57,ham,"Sorry, I'll call later in meeting."
58,ham,Tell where you reached
59,ham,Yes..gauti and sehwag out of odi series.
60,ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
61,ham,Ha ha ha good joke. Girls are situation seekers.
62,ham,Its a part of checking IQ
63,ham,"Sorry my roommates took forever, it ok if I come by now?"
64,ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
65,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
66,ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
67,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
68,spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
69,ham,I plane to give on this month end.
70,ham,Wah lucky man... Then can save money... Hee...
71,ham,Finished class where are you.
72,ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
73,ham,K..k:)where are you?how did you performed?
74,ham,U can call me now...
75,ham,I am waiting machan. Call me once you free.
76,ham,Thats cool. i am a gentleman and will treat you with dignity and respect.
77,ham,I like you peoples very much:) but am very shy pa.
78,ham,Does not operate after  &lt;#&gt;  or what
79,ham,Its not the same here. Still looking for a job. How much do Ta's earn there.
80,ham,"Sorry, I'll call later"
81,ham,K. Did you call me just now ah? 
82,ham,Ok i am on the way to home hi hi
83,ham,You will be in the place of that man
84,ham,Yup next stop.
85,ham,"I call you later, don't have network. If urgnt, sms me."
86,ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
87,ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
88,ham,I'm really not up to it still tonight babe
89,ham,"Ela kano.,il download, come wen ur free.."
90,ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!
91,ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
92,ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
93,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
94,ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
95,spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
96,ham,Watching telugu movie..wat abt u?
97,ham,i see. When we finish we have loads of loans to pay
98,ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""
99,ham,I see a cup of coffee animation
100,ham,Please don't text me anymore. I have nothing else to say.
101,ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
102,ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.
103,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
104,ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
105,ham,Umma my life and vava umma love you lot dear
106,ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
107,ham,"Aight, I'll hit you up when I get some cash"
108,ham,How would my ip address test that considering my computer isn't a minecraft server
109,ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
110,ham,Dont worry. I guess he's busy.
111,ham,What is the plural of the noun research?
112,ham,Going for dinner.msg you after.
113,ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
114,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
115,ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
116,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
117,spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
118,ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
