internal_card_mapping,first_active_month,reward_program,latitude,longitude,fico_score,age
C_ID_0002709b5a,2015-08,travel,33.704,-93.114,812,20
C_ID_0004725b87,2016-10,travel,38.919,-109.02,542,38
C_ID_0006152db8,2017-06,travel,37.222,-100.062,449,57
C_ID_00079fec55,2017-10,dining_entertainment,33.92,-78.775,831,30
C_ID_0007a60a33,2017-06,cash_back,48.276,-98.945,849,34
C_ID_0007fe3157,2017-05,cash_back,39.283,-89.017,820,28
C_ID_0009d25138,2017-04,cash_back,36.068,-98.347,560,78
C_ID_000acab1f6,2017-01,dining_entertainment,37.399,-107.404,315,77
C_ID_000b3dbdea,2017-11,cash_back,30.052,-93.36,376,28
C_ID_000c00fc96,2016-11,travel,32.691,-102.206,822,28
C_ID_000c778b05,2017-06,cash_back,39.291,-83.717,688,21
C_ID_000cadb59e,2016-09,cash_back,27.973,-99.29,499,78
C_ID_000cfb6503,2016-09,cash_back,47.053,-106.257,787,32
C_ID_000edf11d7,2017-11,cash_back,40.727,-124.26,842,43
C_ID_000f023e16,2016-12,travel,44.327,-116.713,734,49
C_ID_000f76201e,2017-12,cash_back,34.413,-78.252,309,55
C_ID_000f7b7753,2017-07,travel,36.932,-83.545,409,19
C_ID_00128a24cf,2016-07,travel,46.135,-121.945,609,25
C_ID_00191957a1,2015-11,travel,36.853,-90.903,766,22
C_ID_001aa75740,2017-12,cash_back,31.174,-94.791,507,48
C_ID_001b4c5151,2017-02,travel,46.082,-108.243,667,19
C_ID_001b9c4a97,2016-07,cash_back,46.712,-96.181,330,35
C_ID_001cb1aa86,2017-04,cash_back,26.347,-80.825,785,46
C_ID_001f2d7b8c,2017-01,cash_back,43.157,-124.156,418,67
C_ID_001fc7b4d5,2017-08,cash_back,35.661,-106.17,640,44
C_ID_0020246399,2017-03,dining_entertainment,32.826,-116.248,540,68
C_ID_00216bdb6a,2016-08,dining_entertainment,36.117,-89.391,725,27
C_ID_002249e66d,2016-02,dining_entertainment,29.836,-81.799,828,31
C_ID_0022d08784,2016-06,dining_entertainment,35.317,-119.468,685,66
C_ID_00254bc137,2014-12,travel,31.483,-81.913,632,37
C_ID_002887180d,2017-01,travel,41.395,-75.778,410,35
C_ID_0028e15a78,2017-10,cash_back,41.863,-118.512,824,48
C_ID_002bfe78ca,2017-05,cash_back,44.531,-69.618,714,59
C_ID_002dadc69b,2017-08,cash_back,35.421,-115.718,763,32
C_ID_002f771489,2017-09,cash_back,35.631,-107.18,684,64
C_ID_002fdd505f,2017-10,dining_entertainment,48.072,-105.599,308,89
C_ID_003020001e,2016-07,dining_entertainment,45.22,-107.695,651,35
C_ID_0030e0945f,2017-03,cash_back,36.301,-105.793,563,44
C_ID_0030e70f55,2017-09,cash_back,48.44,-109.749,439,18
C_ID_00335cb255,2016-05,travel,45.138,-87.903,795,42
C_ID_003364d2f9,2012-09,cash_back,32.818,-98.51,318,21
C_ID_0033871586,2015-09,dining_entertainment,26.452,-81.173,365,88
C_ID_0036d06bf0,2013-05,cash_back,30.406,-89.354,522,40
C_ID_003761255b,2017-06,cash_back,30.537,-101.483,334,51
C_ID_003839dd44,2016-10,cash_back,40.139,-109.114,403,54
C_ID_00392e46ec,2017-02,cash_back,33.009,-108.808,340,47
C_ID_003a5ca783,2015-10,cash_back,27.473,-97.806,444,52
C_ID_003d2dcda8,2017-11,dining_entertainment,47.435,-87.537,559,60
C_ID_003e56029c,2017-03,travel,47.935,-98.105,389,42
C_ID_003efdb394,2016-09,cash_back,32.043,-106.675,689,86
C_ID_00413e84fe,2017-07,travel,37.395,-89.32,743,36
C_ID_0041a7b50b,2017-08,cash_back,42.639,-121.377,601,34
C_ID_0042fd0256,2017-07,cash_back,48.441,-94.95,600,59
C_ID_00442f58ef,2016-02,cash_back,31.38,-100.67,747,35
