merchant_id,merchant_category_id,subsector_description,latitude,longitude
M_ID_0000edb21f,422,consumer electronics,30.94,-104.228
M_ID_0000fd7caf,557,retail apparel,34.601,-81.28
M_ID_0002237144,171,gas,34.235,-105.38
M_ID_00037f6a5d,68,consumer electronics,45.392,-101.249
M_ID_0003f1b272,278,restaurant/dining,44.191,-73.848
M_ID_0003f9a7c4,289,consumer electronics,36.28,-113.103
M_ID_00043c6fe0,130,luxury goods,33.557,-105.499
M_ID_0004e8d213,437,liquor,45.471,-67.801
M_ID_000572bc62,206,biotechnology,42.269,-77.028
M_ID_0006591673,367,carpentry,37.851,-92.185
M_ID_000978f3c7,783,entertainment,47.328,-88.716
M_ID_000a84609a,19,real estate investments,42.161,-98.748
M_ID_000a990142,557,retail apparel,36.872,-96.016
M_ID_000ab1982d,307,entertainment,42.426,-85.111
M_ID_000b0ae39a,769,consumer electronics,39.868,-79.969
M_ID_000bfbd049,307,entertainment,41.194,-104.608
M_ID_0010d01491,401,luxury goods,39.848,-118.642
M_ID_00110f730e,108,gas,43.403,-88.664
M_ID_0011dac4a7,796,insurance,38.308,-121.633
M_ID_001223ffe3,307,entertainment,34.096,-100.218
M_ID_0012ed46b7,419,biotechnology,41.129,-100.65
M_ID_0012f3b727,842,restaurant/dining,37.959,-91.471
M_ID_001306f1cb,818,semiconductors,42.811,-72.569
M_ID_00132aab3f,755,internet,44.047,-112.466
M_ID_0013d298b2,307,entertainment,33.231,-91.545
M_ID_0015138641,518,consumer electronics,34.048,-106.858
M_ID_0018c9c0d8,457,luxury goods,47.243,-89.255
M_ID_0018cf6968,198,insurance,45.482,-121.826
M_ID_001a0bad4e,560,gas,35.383,-109.254
M_ID_001abe0f47,68,consumer electronics,31.738,-109.853
M_ID_001ae709d0,299,luxury goods,39.856,-115.866
M_ID_001c879eac,416,internet,29.958,-95.024
M_ID_001d92b649,889,consumer electronics,47.133,-92.026
M_ID_001f188e08,683,gas,40.091,-75.931
M_ID_001f2a0d1d,401,luxury goods,30.147,-99.912
M_ID_00217efbbb,705,groceries,36.455,-118.019
M_ID_00259bf1fd,45,hotel,36.21,-94.979
M_ID_00264da178,171,gas,39.137,-103.497
M_ID_00273a4b5c,309,beauty & personal care,39.798,-92.289
M_ID_00273d0621,108,gas,40.525,-79.233
M_ID_002a46d5e9,80,restaurant/dining,33.113,-100.865
M_ID_002b3f848c,307,entertainment,44.669,-114.149
M_ID_002bcd18da,307,entertainment,43.736,-84.005
M_ID_002c70935a,108,gas,48.23,-117.69
M_ID_002ed04ceb,416,internet,42.658,-71.111
M_ID_002f51ae9f,298,insurance,38.461,-87.313
M_ID_002fb3b301,307,entertainment,33.064,-116.008
M_ID_002fbf1c79,367,carpentry,40.728,-77.072
M_ID_00304accf5,108,gas,44.473,-114.528
M_ID_0031859046,651,news & journalism,43.282,-82.405
M_ID_0031a098ae,179,internet,45.273,-97.469
M_ID_0034161a19,560,gas,39.89,-112.565
M_ID_00341ca50b,307,entertainment,43.277,-76.676
M_ID_0034683b54,367,carpentry,34.945,-113.338
M_ID_0035a90d3d,343,internet,33.513,-84.336
